packet_size,inter_arrival_time,packet_rate,connection_duration,failed_logins,label
480,0.04,115,22,0,normal
496,0.044,136,20,0,normal
538,0.048,112,15,0,normal
529,0.024,134,16,0,normal
528,0.035,105,16,0,normal
507,0.048,110,20,0,normal
548,0.019,128,24,0,normal
526,0.045,100,24,0,normal
517,0.029,127,20,0,normal
541,0.024,138,16,0,normal
537,0.04,121,19,0,normal
1691,0.581,801,2,8,attack
1413,0.434,806,3,10,attack
512,0.025,113,24,0,normal
537,0.047,147,21,0,normal
536,0.042,104,22,0,normal
490,0.026,148,18,0,normal
492,0.011,129,17,1,normal
501,0.027,112,16,0,normal
514,0.042,131,23,0,normal
536,0.021,149,21,0,normal
1751,0.601,879,2,11,attack
547,0.019,114,20,0,normal
1645,0.485,979,2,12,attack
481,0.031,141,24,0,normal
518,0.044,133,23,0,normal
514,0.02,115,19,0,normal
497,0.042,119,24,0,normal
535,0.047,137,15,0,normal
1401,0.628,884,1,13,attack
1622,0.695,993,1,13,attack
1631,0.45,943,2,5,attack
535,0.016,132,21,0,normal
1663,0.633,901,3,14,attack
518,0.032,143,15,0,normal
517,0.018,145,18,0,normal
549,0.015,136,16,0,normal
517,0.021,146,16,0,normal
543,0.024,129,24,0,normal
513,0.045,134,19,0,normal
524,0.029,146,23,0,normal
533,0.042,149,19,0,normal
496,0.021,143,17,0,normal
533,0.027,105,18,1,normal
538,0.028,124,16,0,normal
527,0.017,142,22,0,normal
1542,0.424,816,3,12,attack
498,0.023,106,15,0,normal
1777,0.671,997,3,8,attack
525,0.013,124,24,0,normal
500,0.028,141,17,1,normal
498,0.013,133,20,0,normal
514,0.013,133,19,0,normal
531,0.032,116,15,0,normal
1423,0.543,993,1,8,attack
536,0.048,113,17,0,normal
485,0.041,110,16,0,normal
513,0.047,136,21,0,normal
541,0.046,145,17,0,normal
1407,0.411,939,2,9,attack
489,0.039,108,23,0,normal
537,0.021,142,24,0,normal
1748,0.558,801,4,13,attack
520,0.039,119,16,0,normal
496,0.028,112,15,0,normal
485,0.025,100,22,0,normal
520,0.02,116,24,0,normal
484,0.035,123,17,0,normal
528,0.013,127,24,0,normal
480,0.018,104,21,0,normal
502,0.021,109,15,0,normal
519,0.018,119,16,0,normal
531,0.027,145,15,0,normal
544,0.027,148,18,0,normal
511,0.05,141,24,0,normal
486,0.03,142,16,0,normal
536,0.023,113,18,0,normal
1563,0.523,815,3,5,attack
505,0.029,100,15,0,normal
485,0.018,108,24,0,normal
1440,0.447,959,3,8,attack
505,0.045,119,17,0,normal
546,0.024,134,20,0,normal
547,0.031,126,15,0,normal
1587,0.659,829,1,12,attack
1474,0.547,863,3,14,attack
1430,0.637,998,2,10,attack
488,0.025,133,23,0,normal
513,0.02,121,15,0,normal
530,0.023,148,22,0,normal
522,0.024,135,21,0,normal
510,0.041,101,18,0,normal
509,0.021,133,15,0,normal
1761,0.635,836,3,11,attack
508,0.036,148,24,0,normal
1518,0.62,908,4,7,attack
504,0.028,128,18,0,normal
1598,0.503,945,1,8,attack
1518,0.408,835,4,10,attack
521,0.016,107,18,0,normal
545,0.037,128,15,0,normal
546,0.024,111,22,0,normal
541,0.036,126,24,0,normal
520,0.041,140,15,0,normal
517,0.023,111,18,0,normal
549,0.02,148,23,0,normal
482,0.02,107,20,0,normal
521,0.047,145,18,0,normal
538,0.032,145,18,0,normal
494,0.015,137,19,0,normal
517,0.014,127,20,0,normal
501,0.045,148,24,0,normal
498,0.035,136,19,0,normal
530,0.047,104,15,0,normal
512,0.04,124,15,0,normal
1538,0.52,856,3,6,attack
502,0.027,119,18,0,normal
543,0.025,141,18,0,normal
507,0.019,144,18,0,normal
505,0.045,111,22,0,normal
536,0.044,138,18,0,normal
1761,0.484,888,3,13,attack
498,0.046,138,16,0,normal
506,0.039,139,23,1,normal
515,0.044,149,21,0,normal
480,0.021,120,17,0,normal
1678,0.407,928,2,13,attack
541,0.035,136,19,0,normal
543,0.019,135,23,0,normal
501,0.05,135,17,0,normal
525,0.016,128,22,0,normal
